city,date,fare,ride_id
Marychester,2017-01-02 05:10:33,40.32,0322898416443
Theresaland,2017-01-02 19:10:57,27.93,5151825777211
Port Michael,2017-01-03 08:56:39,33.52,6358129117012
Whitneyfurt,2017-01-01 17:17:06,20.84,9608856659260
New Timothy,2017-01-01 23:10:47,41.49,2454611642605
Port Brianborough,2017-01-02 19:33:30,34.54,9032737591507
Alexisfort,2017-01-01 06:52:45,33.56,6351999201317
Port Albert,2017-01-02 01:09:42,13.78,1083720738186
New Jasonfort,2017-01-02 22:12:26,18.31,8037348114412
Alexisfort,2017-01-02 02:10:49,40.83,1919575968433
South Mary,2017-01-01 21:17:03,22.02,6025432869500
New Christina,2017-01-02 07:11:15,38.93,4517531783358
Tammyburgh,2017-01-02 04:28:03,18.78,2315208159060
East Rose,2017-01-01 19:33:37,9.63,7460812649331
Tammyburgh,2017-01-03 03:00:08,30.1,0558639764959
West Robertchester,2017-01-02 19:15:29,33.45,8441830275268
North Erikaport,2017-01-02 19:20:55,19.28,3849870103575
Marychester,2017-01-03 02:14:15,33.94,8691079167859
Smithland,2017-01-02 20:30:09,38.79,9850389888208
Catherinebury,2017-01-02 00:38:42,13.97,1841789010052
West Nancy,2017-01-03 01:15:09,30.63,1607171324233
North Rachaelberg,2017-01-02 06:15:51,15.67,4628591777680
North Audreyfort,2017-01-03 08:23:43,4.88,9359295851226
Curtismouth,2017-01-01 10:31:06,30.31,8059777463787
Whitneyfurt,2017-01-02 01:42:57,7.19,0794024073705
Port Angelaberg,2017-01-01 22:06:05,16.07,8455522317907
Floresbury,2017-01-02 19:12:34,26.61,6145659518606
Alexisfort,2017-01-01 16:29:29,24.56,1234149290704
Jillmouth,2017-01-01 04:51:19,18.47,5542914761424
New Adrian,2017-01-01 03:07:20,39.63,0204273781967
Mathewfurt,2017-01-03 12:15:05,40.29,5438338404323
East James,2017-01-02 17:29:52,33.48,5132987926921
North Audreyfort,2017-01-01 09:59:57,43.83,1339799010884
Port Sandraport,2017-01-01 01:27:41,4.07,3957504053049
West Nancy,2017-01-01 05:42:19,6.98,7822556481910
Mathewfurt,2017-01-03 12:32:15,18.37,5707286749160
North Audreyfort,2017-01-01 09:52:37,40.35,7309204378896
East James,2017-01-01 16:27:57,43.07,3799474906518
Port Brianborough,2017-01-02 12:10:38,10.02,5872585978044
New Charlotte,2017-01-01 02:29:33,9.28,7243420415044
South Mary,2017-01-02 13:09:49,43.12,3611622591097
Tammyburgh,2017-01-01 00:10:21,7.76,9113511454178
New Jonathanberg,2017-01-03 01:56:17,16.3,9278547477901
New Jonathanberg,2017-01-03 01:28:00,13.5,9493235746927
Curtismouth,2017-01-02 08:46:34,33.34,2191328079187
Michaelfurt,2017-01-02 02:44:31,33.39,9376030437576
West Nathanville,2017-01-01 16:33:27,25.15,5996861934040
Scottside,2017-01-03 01:59:39,8.44,4889374869545
Markborough,2017-01-02 07:19:18,40.33,8850219714951
North Karenfort,2017-01-01 17:28:28,21.89,4221240396135
South John,2017-01-02 02:02:38,18.36,8709915613313
Floresbury,2017-01-01 19:53:56,24.66,6182304492065
North Karenfort,2017-01-03 00:09:15,19.53,5731736585411
Whitneyfurt,2017-01-02 01:35:39,18.99,3121907083259
Michaelfurt,2017-01-02 15:14:28,40.83,5149140476469
Lake Charlesside,2017-01-02 11:43:30,43.25,2111909785559
Lindseymouth,2017-01-03 02:21:21,20.43,6110295333074
New Timothy,2017-01-02 12:43:52,14.01,6519801049421
Jamesbury,2017-01-02 01:02:37,34.69,8784365069347
Piercetown,2017-01-01 20:33:28,36.9,2766855783199
North Rachaelberg,2017-01-02 15:12:44,14.08,0880844468163
West Nancy,2017-01-03 03:07:07,14.65,9466870007982
Lindseymouth,2017-01-03 07:37:21,13.59,7505685623603
New Robin,2017-01-02 21:25:04,37.91,7121930482681
Port Meghanton,2017-01-01 21:14:27,28.26,4051389735614
Mathewfurt,2017-01-03 09:04:32,32.33,0109375592247
East James,2017-01-02 05:12:38,30.69,8398862660473
Joefort,2017-01-01 04:17:27,30.7,2125170316978
South Mariahaven,2017-01-02 18:53:19,8.51,3532828529793
Smithland,2017-01-01 13:24:34,35.19,5583056808547
Brianfurt,2017-01-03 03:17:34,25.3,6130194180067
New Robin,2017-01-01 13:24:42,22.44,3756885089940
North Audreyfort,2017-01-01 05:11:52,18.72,7394709858097
North Krystal,2017-01-01 21:57:07,33.72,1494808445795
Theresaland,2017-01-01 00:00:49,21.59,4469608060063
Catherinebury,2017-01-02 00:38:00,39.35,0913179959539
Catherinebury,2017-01-02 22:01:15,22.24,9456790256966
New Shawnville,2017-01-01 11:27:11,37.54,5322231475903
New Jonathanberg,2017-01-02 00:30:16,25.32,6069671014192
Jillmouth,2017-01-01 17:25:35,5.72,2493888630007
West Nancy,2017-01-02 06:52:45,33.45,1622220670048
East Karenmouth,2017-01-01 03:58:56,6.75,8460322715242
East Karenmouth,2017-01-02 19:55:15,23.94,1692991717204
Port Angelaberg,2017-01-03 09:45:42,18.89,0918612719565
Joefort,2017-01-01 22:33:38,44.74,6974813816834
Smithland,2017-01-01 09:03:55,27.6,2121098710829
Joefort,2017-01-01 12:23:58,35.81,6735815464696
Alexisfort,2017-01-02 05:52:07,31.69,7947523213100
North Audreyfort,2017-01-01 19:44:15,8.5,4188445153416
North Krystal,2017-01-01 02:06:19,29.87,0582444675728
North Sandra,2017-01-01 14:29:13,38.72,6649963164714
New Charlotte,2017-01-01 22:17:25,32.83,7627788133749
East James,2017-01-02 01:24:28,25.33,8969480108069
New Christina,2017-01-01 18:36:50,18.71,1599971793312
Mathewfurt,2017-01-02 15:22:34,44.47,8795417674273
Port Michael,2017-01-02 21:50:58,26.74,6712731924664
West Lanceview,2017-01-03 09:54:26,35.64,1283790680426
New Shawnville,2017-01-01 05:58:43,44.88,1646721495276
Piercetown,2017-01-03 00:48:44,41.45,7316131701536
Mcdonaldfort,2017-01-03 03:16:01,16.37,3947151027265
Port Sandraport,2017-01-02 20:26:04,25.39,2688470738166
Karenfurt,2017-01-01 03:36:42,21.65,2940464578531
Port Albert,2017-01-02 09:15:25,33.8,0642603583216
Whitneyfurt,2017-01-03 10:11:57,5.47,8616919728397
New Christina,2017-01-03 11:33:50,26.8,5325940269344
Lindseymouth,2017-01-03 09:29:22,5.01,0952731923724
North Rachaelberg,2017-01-03 06:47:00,17.03,4589753026537
Mathewfurt,2017-01-03 07:42:49,19.02,8191651541867
New Holly,2017-01-02 18:19:00,38.78,9607349115818
North Sandra,2017-01-02 13:13:08,22.63,3002742352512
Evansburgh,2017-01-02 00:13:14,37.3,1863030749160
New Holly,2017-01-01 07:04:42,20.3,9706653728179
Port Meghanton,2017-01-01 22:19:06,13.19,1915388598812
Evansburgh,2017-01-03 09:40:10,20.52,6998929541923
Port Albert,2017-01-02 17:16:46,6.78,3722550114866
Markborough,2017-01-03 00:19:29,23.26,0849934512094
Alexisfort,2017-01-02 06:54:32,33.4,4072146561390
Jamesbury,2017-01-02 20:38:13,41.19,2728662744541
Curtismouth,2017-01-02 13:23:28,26.62,6559787611526
Lindseymouth,2017-01-02 17:36:18,13.28,8080229110638
New Jonathanberg,2017-01-02 02:51:56,13.35,0129141275730
North Rachaelberg,2017-01-01 07:42:22,8.88,8999400706037
North Audreyfort,2017-01-03 01:36:38,21.07,1814714866581
Piercetown,2017-01-02 18:44:53,15.37,6143584699650
Port Albert,2017-01-03 02:23:19,28.4,3156792734306
Alexisfort,2017-01-01 23:04:18,12.96,2646410316386
North Karenfort,2017-01-03 07:07:45,9.68,3081375648810
Jamesbury,2017-01-01 16:39:28,13.72,3011964154576
Floresbury,2017-01-01 00:33:46,18.73,4428842391913
Michaelfurt,2017-01-02 15:40:17,4.88,0278400304879
Suzanneborough,2017-01-03 05:27:55,28.6,9517863325023
North Sandra,2017-01-02 11:43:44,12.08,7106558113636
Jamesbury,2017-01-01 13:31:53,42.89,5272103596161
New Robin,2017-01-01 06:50:02,25.76,4721538216713
Floresbury,2017-01-01 04:32:53,33.16,5971583447139
Alexisfort,2017-01-02 03:58:51,26.37,9200296522762
Johnsonburgh,2017-01-03 12:20:37,44.84,1740865137426
Mathewfurt,2017-01-01 08:32:39,33.59,2991973727620
Floresbury,2017-01-02 17:18:32,30.54,4726141039247
Joefort,2017-01-03 02:46:22,8.91,7509382347565
Tammyburgh,2017-01-02 05:22:44,22.0,4171010688543
East Rose,2017-01-02 10:26:14,24.29,6694580525011
Port Angelaberg,2017-01-02 21:13:56,36.63,8094700165703
Mcdonaldfort,2017-01-01 14:29:12,34.8,8919367167801
West Nancy,2017-01-01 00:43:24,15.5,4476478976431
Turnershire,2017-01-01 13:26:28,16.61,5530200501014
South Mary,2017-01-02 17:58:43,23.42,9876821015384
Johnsonburgh,2017-01-02 15:24:17,42.66,0099758537241
South Mary,2017-01-02 01:17:55,34.39,5677262036716
North Krystal,2017-01-03 12:08:19,11.09,3386295270876
Jamesbury,2017-01-02 14:24:08,23.98,0874282828160
New Jasonfort,2017-01-02 15:59:24,12.42,4978178877914
West Robertchester,2017-01-02 03:15:35,32.4,9089256694097
Curtismouth,2017-01-01 00:19:31,17.5,2204604162852
Port Michael,2017-01-03 04:55:43,9.36,7316619504741
North Audreyfort,2017-01-02 17:32:53,30.17,6263006214411
Mcdonaldfort,2017-01-01 23:15:46,5.4,4311922687054
South Mary,2017-01-03 02:35:55,22.38,2874570578379
New Jasonfort,2017-01-03 04:40:46,39.98,7371904356627
New Jasonfort,2017-01-01 12:35:32,9.91,3887888007553
East James,2017-01-01 08:10:28,36.83,8114424061720
West Nancy,2017-01-01 07:59:04,19.44,7193337712517
South Mary,2017-01-02 14:29:27,19.82,9112934648034
Smithland,2017-01-01 08:10:43,35.19,5576218915405
Mathewfurt,2017-01-03 03:40:47,40.36,6831031893040
Jamesbury,2017-01-02 12:58:57,43.28,5115172547217
New Timothy,2017-01-02 02:42:22,25.74,3049872157068
Theresaland,2017-01-01 01:03:36,6.4,9625896280513
Joefort,2017-01-03 05:28:03,22.88,3440807636465
New Christina,2017-01-02 09:50:03,26.14,1068472704580
New Adrian,2017-01-01 22:38:31,31.53,6295405759873
New Holly,2017-01-01 17:24:36,25.76,4187487263985
West Robertchester,2017-01-02 07:55:47,34.38,9592266830084
Melissaborough,2017-01-01 23:07:17,25.79,1488790166684
Port Meghanton,2017-01-03 08:03:22,20.34,4382401289694
Port Albert,2017-01-02 03:19:16,27.6,2374716789596
West Kennethland,2017-01-01 16:51:51,21.18,2473096376300
Jamesbury,2017-01-02 09:45:15,33.16,2541341209021
New Timothy,2017-01-02 07:52:33,22.4,6427211097881
Port Meghanton,2017-01-03 00:43:14,9.11,9162207294635
North Sandra,2017-01-01 07:00:24,11.18,2518404620444
South John,2017-01-02 17:56:06,32.72,3109680468210
Jillmouth,2017-01-02 05:24:29,16.91,3296140281103
Whitneyfurt,2017-01-02 06:01:45,21.53,2354196405667
Catherinebury,2017-01-02 16:34:52,4.76,2554705381288
New Holly,2017-01-03 09:07:06,4.44,6686670014185
Port Meghanton,2017-01-02 06:54:43,16.78,2358883328840
Smithland,2017-01-01 15:28:22,31.48,6305992073112
Lindseymouth,2017-01-02 22:16:42,16.57,4943378733285
North Rachaelberg,2017-01-02 01:10:02,10.83,7628538962251
North Erikaport,2017-01-02 23:17:06,23.37,6440670029286
Port Sandraport,2017-01-01 04:58:39,37.21,2460757205253
South Mary,2017-01-02 00:45:53,6.37,8935361669851
Brianfurt,2017-01-03 00:54:46,31.68,4930297982122
North Audreyfort,2017-01-02 16:59:18,42.52,4197305142385
Johnsonburgh,2017-01-02 21:11:28,8.52,6951221965071
South John,2017-01-02 02:05:08,11.58,7974184817811
North Sandra,2017-01-02 18:33:39,37.94,7980003718139
Whitneyfurt,2017-01-01 01:39:23,25.05,4515541834817
Lake Robertstad,2017-01-01 11:48:31,23.9,2147601640223
Lake Charlesside,2017-01-03 06:19:49,9.25,2372276985694
East Rose,2017-01-03 01:42:23,40.98,5359062042394
New Timothy,2017-01-01 04:43:37,40.63,2670544280169
Thomashaven,2017-01-02 23:38:44,8.49,1910314676794
Port Albert,2017-01-01 04:41:44,35.94,6887555501084
North Erikaport,2017-01-01 05:44:59,36.91,2972872101247
Port Stacyfort,2017-01-01 18:46:27,4.7,2344980157124
Markborough,2017-01-01 12:13:20,16.7,8510121404820
North Erikaport,2017-01-01 10:55:51,29.39,0125518354749
Curtismouth,2017-01-01 20:52:43,42.76,9895660216240
Thomashaven,2017-01-03 03:40:20,17.55,1826835646881
Mathewfurt,2017-01-01 15:50:16,34.83,3629754959425
Whitneyfurt,2017-01-01 19:50:57,11.91,6183809613818
Jillmouth,2017-01-02 20:47:46,23.17,6652931272588
Marychester,2017-01-02 18:57:28,15.64,5237607515889
Port Angelaberg,2017-01-03 02:04:20,18.36,5154230061517
Port Stacyfort,2017-01-01 15:23:39,13.74,7257446641233
Lake Robertstad,2017-01-01 07:46:07,44.07,1932279707399
West Robertchester,2017-01-01 10:57:44,12.63,5409397196092
Suzanneborough,2017-01-02 01:37:16,43.37,1504281850334
East Rose,2017-01-02 14:24:59,37.81,2345153594791
Lake David,2017-01-02 05:01:56,38.77,7486970191802
South John,2017-01-02 14:40:21,4.84,1221478755066
Catherinebury,2017-01-03 11:59:09,21.78,9075951404277
Whitneyfurt,2017-01-02 07:23:18,30.81,5429855114727
Scottside,2017-01-01 15:27:00,22.9,7600216627423
Lake David,2017-01-03 08:53:13,44.73,0107394603043
South John,2017-01-02 01:40:44,14.23,3858173163391
South Mary,2017-01-02 09:06:46,43.57,4722028044854
Port Angelaberg,2017-01-02 19:13:45,21.28,7050611091709
Port Brianborough,2017-01-01 04:32:59,11.59,7471119692128
Evansburgh,2017-01-02 17:00:47,20.77,5319003666676
Turnershire,2017-01-01 18:51:00,35.1,3033665936886
West Kennethland,2017-01-01 09:34:21,23.56,6478924592637
East James,2017-01-01 15:58:57,35.33,8789662737883
North Rachaelberg,2017-01-01 19:47:33,4.32,5304254731013
Port Michael,2017-01-02 15:03:15,37.08,3921661530712
Jamesbury,2017-01-03 00:57:19,25.01,8214135444369
East Karenmouth,2017-01-01 08:41:39,34.59,5274414707021
Alexisfort,2017-01-03 09:43:32,41.21,7007841256927
Tammyburgh,2017-01-02 21:29:38,5.37,5531485446571
South Mary,2017-01-02 12:10:51,12.46,2513610195205
North Rachaelberg,2017-01-02 05:42:04,43.74,3113025367212
Jillmouth,2017-01-02 22:31:42,7.21,0427924403166
New Robin,2017-01-03 12:14:21,30.1,4636632193450
New Timothy,2017-01-01 00:42:40,8.11,3994653347575
Port Stacyfort,2017-01-01 21:59:00,23.92,4829874955034
Mcdonaldfort,2017-01-01 15:36:16,20.53,2646110779504
South Mariahaven,2017-01-01 18:20:34,30.02,9237303122691
Port Stacyfort,2017-01-02 20:06:23,35.19,0184943477300
Port Stacyfort,2017-01-03 05:51:20,10.73,9764160707186
Whitneyfurt,2017-01-03 02:18:09,43.59,4256410608183
New Catherine,2017-01-02 01:18:37,19.22,2419334481665
Evansburgh,2017-01-01 05:05:55,40.32,4948143463145
Alexisfort,2017-01-02 21:35:23,25.4,6113123191716
New Jonathanberg,2017-01-03 06:26:56,15.85,0779419523782
Floresbury,2017-01-01 02:31:19,31.79,5188475372961
Port Michael,2017-01-01 20:55:28,36.32,4940958099472
Lake Robertstad,2017-01-01 22:12:53,37.27,9945763354773
Theresaland,2017-01-02 00:25:46,30.52,4875982629763
West Lanceview,2017-01-02 07:22:59,13.94,1640011288821
Catherinebury,2017-01-02 10:41:50,30.94,7514948301387
Johnsonburgh,2017-01-02 08:06:17,27.21,7858300536223
West Robertchester,2017-01-03 08:31:50,34.46,9006903958432
West Kennethland,2017-01-02 02:31:27,34.52,2328239109751
New Timothy,2017-01-02 23:33:48,40.64,7656285835313
South Mary,2017-01-02 07:41:45,14.34,2881931576431
Alexisfort,2017-01-03 03:45:10,43.21,8362799360751
Theresaland,2017-01-01 15:18:43,13.23,7831748288299
Lake Robertstad,2017-01-01 16:33:32,23.23,9143615824850
